City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,east london,-33.0153,27.9116,20.52,45,0,4.12,ZA,1690042290
348,kerikeri,-35.2268,173.9474,10.51,93,100,3.7,NZ,1690042332
349,olinda,-8.0089,-34.8553,27.85,69,40,5.66,BR,1690042332
350,ulladulla,-35.35,150.4667,7.89,78,0,2.59,AU,1690042332
351,barkot,30.8167,78.2,22.05,90,90,1.24,IN,1690042332
352,longgang,37.6508,120.3286,24.09,86,0,2.52,CN,1690042333
353,khandyga,62.6667,135.6,11.57,95,2,0.16,RU,1690042333
354,julio de castilhos,-29.2269,-53.6817,22.47,68,90,8.23,BR,1690042333
355,hailar,49.2,119.7,16.56,95,100,3.65,CN,1690042333
356,kyabe,9.4515,18.9449,30.63,57,70,3.17,TD,1690042333
357,notodden,59.5594,9.2585,17.51,77,88,0.92,NO,1690042333
358,arona,28.0996,-16.681,25.29,55,20,10.8,ES,1690042333
359,zhezqazghan,47.7833,67.7667,29.51,19,47,3.58,KZ,1690042334
360,nuevitas,21.5453,-77.2644,30.73,62,40,3.93,CU,1690042334
361,kavaratti,10.5669,72.642,28.11,82,72,8.89,IN,1690042334
362,vadso,70.0744,29.7487,9.49,81,100,8.23,NO,1690042334
363,tsiombe,-25.3,45.4833,21.18,72,64,5.38,MG,1690042334
364,guayaramerin,-10.8368,-65.3614,34.79,27,0,1.49,BO,1690042334
365,oyama,36.3,139.8,27.55,73,26,1.32,JP,1690042335
